matrix-tech-tws
                       BillingFullAccess                   aws-portal:*

                     EC2-View-Start-Stop                  ec2:Describe*
                     EC2-View-Start-Stop             ec2:StartInstances
                     EC2-View-Start-Stop              ec2:StopInstances
                     EC2-View-Start-Stop            ec2:RebootInstances
                     EC2-View-Start-Stop             ec2:CreateSnapshot
                     EC2-View-Start-Stop               ec2:CreateVolume
                     EC2-View-Start-Stop               ec2:AttachVolume
                     EC2-View-Start-Stop               ec2:DetachVolume
                     EC2-View-Start-Stop                 ec2:CreateTags
                     EC2-View-Start-Stop     ec2:AttachNetworkInterface
                     EC2-View-Start-Stop     ec2:CreateNetworkInterface
                     EC2-View-Start-Stop  ec2:DescribeNetworkInterfaces
                     EC2-View-Start-Stop ec2:DescribeNetworkInterfaceAttribute
                     EC2-View-Start-Stop     ec2:DetachNetworkInterface
                     EC2-View-Start-Stop           ec2:GetConsoleOutput
                     EC2-View-Start-Stop       ec2:GetConsoleScreenshot

          sts-DecodeAuthorizationMessage sts:DecodeAuthorizationMessage

                                vmimport                  s3:ListBucket
                                vmimport           s3:GetBucketLocation
                                vmimport                   s3:GetObject
                                vmimport    ec2:ModifySnapshotAttribute
                                vmimport               ec2:CopySnapshot
                                vmimport              ec2:RegisterImage
                                vmimport                  ec2:Describe*

          AWSDirectConnectReadOnlyAccess        directconnect:Describe*

             AmazonGlacierReadOnlyAccess            glacier:DescribeJob
             AmazonGlacierReadOnlyAccess          glacier:DescribeVault
             AmazonGlacierReadOnlyAccess glacier:GetDataRetrievalPolicy
             AmazonGlacierReadOnlyAccess           glacier:GetJobOutput
             AmazonGlacierReadOnlyAccess   glacier:GetVaultAccessPolicy
             AmazonGlacierReadOnlyAccess           glacier:GetVaultLock
             AmazonGlacierReadOnlyAccess  glacier:GetVaultNotifications
             AmazonGlacierReadOnlyAccess               glacier:ListJobs
             AmazonGlacierReadOnlyAccess   glacier:ListMultipartUploads
             AmazonGlacierReadOnlyAccess              glacier:ListParts
             AmazonGlacierReadOnlyAccess       glacier:ListTagsForVault
             AmazonGlacierReadOnlyAccess             glacier:ListVaults

                AWSMarketplaceFullAccess              aws-marketplace:*
                AWSMarketplaceFullAccess     cloudformation:CreateStack
                AWSMarketplaceFullAccess cloudformation:DescribeStackResource
                AWSMarketplaceFullAccess cloudformation:DescribeStackResources
                AWSMarketplaceFullAccess  cloudformation:DescribeStacks
                AWSMarketplaceFullAccess           cloudformation:List*
                AWSMarketplaceFullAccess ec2:AuthorizeSecurityGroupEgress
                AWSMarketplaceFullAccess ec2:AuthorizeSecurityGroupIngress
                AWSMarketplaceFullAccess        ec2:CreateSecurityGroup
                AWSMarketplaceFullAccess                 ec2:CreateTags
                AWSMarketplaceFullAccess  ec2:DescribeAccountAttributes
                AWSMarketplaceFullAccess          ec2:DescribeAddresses
                AWSMarketplaceFullAccess        ec2:DeleteSecurityGroup
                AWSMarketplaceFullAccess  ec2:DescribeAccountAttributes
                AWSMarketplaceFullAccess             ec2:DescribeImages
                AWSMarketplaceFullAccess          ec2:DescribeInstances
                AWSMarketplaceFullAccess           ec2:DescribeKeyPairs
                AWSMarketplaceFullAccess     ec2:DescribeSecurityGroups
                AWSMarketplaceFullAccess            ec2:DescribeSubnets
                AWSMarketplaceFullAccess               ec2:DescribeTags
                AWSMarketplaceFullAccess               ec2:DescribeVpcs
                AWSMarketplaceFullAccess               ec2:RunInstances
                AWSMarketplaceFullAccess             ec2:StartInstances
                AWSMarketplaceFullAccess              ec2:StopInstances
                AWSMarketplaceFullAccess         ec2:TerminateInstances

        AutoScalingConsoleReadOnlyAccess               ec2:DescribeVpcs
        AutoScalingConsoleReadOnlyAccess     ec2:DescribeVpcClassicLink
        AutoScalingConsoleReadOnlyAccess  ec2:DescribeAvailabilityZones
        AutoScalingConsoleReadOnlyAccess            ec2:DescribeSubnets
        AutoScalingConsoleReadOnlyAccess elasticloadbalancing:Describe*
        AutoScalingConsoleReadOnlyAccess         cloudwatch:ListMetrics
        AutoScalingConsoleReadOnlyAccess cloudwatch:GetMetricStatistics
        AutoScalingConsoleReadOnlyAccess           cloudwatch:Describe*
        AutoScalingConsoleReadOnlyAccess          autoscaling:Describe*
        AutoScalingConsoleReadOnlyAccess          sns:ListSubscriptions
        AutoScalingConsoleReadOnlyAccess                 sns:ListTopics

                 AmazonDMSRedshiftS3Role                s3:CreateBucket
                 AmazonDMSRedshiftS3Role                  s3:ListBucket
                 AmazonDMSRedshiftS3Role                s3:DeleteBucket
                 AmazonDMSRedshiftS3Role           s3:GetBucketLocation
                 AmazonDMSRedshiftS3Role                   s3:GetObject
                 AmazonDMSRedshiftS3Role                   s3:PutObject
                 AmazonDMSRedshiftS3Role                s3:DeleteObject
                 AmazonDMSRedshiftS3Role            s3:GetObjectVersion
                 AmazonDMSRedshiftS3Role             s3:GetBucketPolicy
                 AmazonDMSRedshiftS3Role             s3:PutBucketPolicy
                 AmazonDMSRedshiftS3Role          s3:DeleteBucketPolicy

                    AWSQuickSightListIAM                      iam:List*

                     AWSHealthFullAccess                       health:*

        AlexaForBusinessGatewayExecution                      a4b:Send*
        AlexaForBusinessGatewayExecution                       a4b:Get*
        AlexaForBusinessGatewayExecution             sqs:ReceiveMessage
        AlexaForBusinessGatewayExecution              sqs:DeleteMessage
        AlexaForBusinessGatewayExecution                      a4b:List*
        AlexaForBusinessGatewayExecution            logs:CreateLogGroup
        AlexaForBusinessGatewayExecution           logs:CreateLogStream
        AlexaForBusinessGatewayExecution         logs:DescribeLogGroups
        AlexaForBusinessGatewayExecution              logs:PutLogEvents

                     AmazonRDSFullAccess                          rds:*
                     AmazonRDSFullAccess      cloudwatch:DescribeAlarms
                     AmazonRDSFullAccess cloudwatch:GetMetricStatistics
                     AmazonRDSFullAccess  ec2:DescribeAccountAttributes
                     AmazonRDSFullAccess  ec2:DescribeAvailabilityZones
                     AmazonRDSFullAccess   ec2:DescribeInternetGateways
                     AmazonRDSFullAccess     ec2:DescribeSecurityGroups
                     AmazonRDSFullAccess            ec2:DescribeSubnets
                     AmazonRDSFullAccess       ec2:DescribeVpcAttribute
                     AmazonRDSFullAccess               ec2:DescribeVpcs
                     AmazonRDSFullAccess          sns:ListSubscriptions
                     AmazonRDSFullAccess                 sns:ListTopics
                     AmazonRDSFullAccess                    sns:Publish
                     AmazonRDSFullAccess        logs:DescribeLogStreams
                     AmazonRDSFullAccess              logs:GetLogEvents
                     AmazonRDSFullAccess                           pi:*
                     AmazonRDSFullAccess    iam:CreateServiceLinkedRole

                             SupportUser                      support:*
                             SupportUser        acm:DescribeCertificate
                             SupportUser             acm:GetCertificate
                             SupportUser                      acm:List*
                             SupportUser                 apigateway:GET
                             SupportUser                 appstream:Get*
                             SupportUser          autoscaling:Describe*
                             SupportUser aws-marketplace:ViewSubscriptions
                             SupportUser       cloudformation:Describe*
                             SupportUser            cloudformation:Get*
                             SupportUser           cloudformation:List*
                             SupportUser cloudformation:EstimateTemplateCost
                             SupportUser                cloudfront:Get*
                             SupportUser               cloudfront:List*
                             SupportUser          cloudsearch:Describe*
                             SupportUser              cloudsearch:List*
                             SupportUser      cloudtrail:DescribeTrails
                             SupportUser      cloudtrail:GetTrailStatus
                             SupportUser        cloudtrail:LookupEvents
                             SupportUser            cloudtrail:ListTags
                             SupportUser      cloudtrail:ListPublicKeys
                             SupportUser           cloudwatch:Describe*
                             SupportUser                cloudwatch:Get*
                             SupportUser               cloudwatch:List*
                             SupportUser codecommit:BatchGetRepositories
                             SupportUser                codecommit:Get*
                             SupportUser               codecommit:List*
                             SupportUser              codedeploy:Batch*
                             SupportUser                codedeploy:Get*
                             SupportUser               codedeploy:List*
                             SupportUser    codepipeline:AcknowledgeJob
                             SupportUser codepipeline:AcknowledgeThirdPartyJob
                             SupportUser   codepipeline:ListActionTypes
                             SupportUser     codepipeline:ListPipelines
                             SupportUser       codepipeline:PollForJobs
                             SupportUser codepipeline:PollForThirdPartyJobs
                             SupportUser  codepipeline:GetPipelineState
                             SupportUser       codepipeline:GetPipeline
                             SupportUser         cognito-identity:List*
                             SupportUser cognito-identity:LookupDeveloperIdentity
                             SupportUser     cognito-identity:Describe*
                             SupportUser          cognito-idp:Describe*
                             SupportUser         cognito-sync:Describe*
                             SupportUser cognito-sync:GetBulkPublishDetails
                             SupportUser  cognito-sync:GetCognitoEvents
                             SupportUser cognito-sync:GetIdentityPoolConfiguration
                             SupportUser             cognito-sync:List*
                             SupportUser config:DescribeConfigurationRecorders
                             SupportUser config:DescribeConfigurationRecorderStatus
                             SupportUser config:DescribeConfigRuleEvaluationStatus
                             SupportUser     config:DescribeConfigRules
                             SupportUser config:DescribeDeliveryChannels
                             SupportUser config:DescribeDeliveryChannelStatus
                             SupportUser config:GetResourceConfigHistory
                             SupportUser config:ListDiscoveredResources
                             SupportUser   datapipeline:DescribeObjects
                             SupportUser datapipeline:DescribePipelines
                             SupportUser datapipeline:GetPipelineDefinition
                             SupportUser     datapipeline:ListPipelines
                             SupportUser      datapipeline:QueryObjects
                             SupportUser datapipeline:ReportTaskProgress
                             SupportUser datapipeline:ReportTaskRunnerHeartbeat
                             SupportUser               devicefarm:List*
                             SupportUser                devicefarm:Get*
                             SupportUser        directconnect:Describe*
                             SupportUser            discovery:Describe*
                             SupportUser   discovery:ListConfigurations
                             SupportUser                  dms:Describe*
                             SupportUser                      dms:List*
                             SupportUser         ds:DescribeDirectories
                             SupportUser           ds:DescribeSnapshots
                             SupportUser          ds:GetDirectoryLimits
                             SupportUser           ds:GetSnapshotLimits
                             SupportUser  ds:ListAuthorizedApplications
                             SupportUser        dynamodb:DescribeLimits
                             SupportUser         dynamodb:DescribeTable
                             SupportUser            dynamodb:ListTables
                             SupportUser                  ec2:Describe*
                             SupportUser              ec2:DescribeHosts
                             SupportUser   ec2:describeIdentityIdFormat
                             SupportUser           ec2:DescribeIdFormat
                             SupportUser  ec2:DescribeInstanceAttribute
                             SupportUser        ec2:DescribeNatGateways
                             SupportUser ec2:DescribeReservedInstancesModifications
                             SupportUser               ec2:DescribeTags
                             SupportUser           ec2:GetFlowLogsCount
                             SupportUser        ecr:GetRepositoryPolicy
                             SupportUser ecr:BatchCheckLayerAvailability
                             SupportUser       ecr:DescribeRepositories
                             SupportUser                 ecr:ListImages
                             SupportUser                  ecs:Describe*
                             SupportUser                      ecs:List*
                             SupportUser          elasticache:Describe*
                             SupportUser              elasticache:List*
                             SupportUser        elasticbeanstalk:Check*
                             SupportUser     elasticbeanstalk:Describe*
                             SupportUser         elasticbeanstalk:List*
                             SupportUser elasticbeanstalk:RequestEnvironmentInfo
                             SupportUser elasticbeanstalk:RetrieveEnvironmentInfo
                             SupportUser elasticbeanstalk:ValidateConfigurationSettings
                             SupportUser    elasticfilesystem:Describe*
                             SupportUser elasticloadbalancing:Describe*
